name,x,y,width,height
p_870_360,867,357,7,7
p_870_370,867,367,7,7
p_870_380,867,377,7,7
p_870_390,867,387,7,7
p_870_400,867,397,7,7
p_870_410,867,407,7,7
p_870_420,867,417,7,7
p_870_430,867,427,7,7
p_870_440,867,437,7,7
p_870_450,867,447,7,7
p_870_460,867,457,7,7
p_870_470,867,467,7,7
p_870_480,867,477,7,7
p_870_490,867,487,7,7
p_870_500,867,497,7,7
p_870_510,867,507,7,7
p_870_520,867,517,7,7
p_870_530,867,527,7,7
p_870_540,867,537,7,7
p_870_550,867,547,7,7
p_870_560,867,557,7,7
p_870_570,867,567,7,7
p_870_580,867,577,7,7
p_870_590,867,587,7,7
p_870_600,867,597,7,7
p_870_610,867,607,7,7
p_870_620,867,617,7,7
p_870_630,867,627,7,7
p_870_640,867,637,7,7
p_870_650,867,647,7,7
p_870_660,867,657,7,7
p_870_670,867,667,7,7
p_870_680,867,677,7,7
p_870_690,867,687,7,7
p_870_700,867,697,7,7
p_870_710,867,707,7,7
p_870_720,867,717,7,7
p_870_730,867,727,7,7
p_870_740,867,737,7,7
p_870_750,867,747,7,7
p_880_250,877,247,7,7
p_880_260,877,257,7,7
p_880_270,877,267,7,7
p_880_280,877,277,7,7
p_880_290,877,287,7,7
p_880_300,877,297,7,7
p_880_310,877,307,7,7
p_880_320,877,317,7,7
p_880_330,877,327,7,7
p_880_340,877,337,7,7
p_880_350,877,347,7,7
p_880_360,877,357,7,7
p_880_370,877,367,7,7
p_880_380,877,377,7,7
p_880_390,877,387,7,7
p_880_400,877,397,7,7
p_880_410,877,407,7,7
p_880_420,877,417,7,7
p_880_430,877,427,7,7
p_880_440,877,437,7,7
p_880_450,877,447,7,7
p_880_460,877,457,7,7
p_880_470,877,467,7,7
p_880_480,877,477,7,7
p_880_490,877,487,7,7
p_880_500,877,497,7,7
p_880_510,877,507,7,7
p_880_520,877,517,7,7
p_880_530,877,527,7,7
p_880_540,877,537,7,7
p_880_550,877,547,7,7
p_880_560,877,557,7,7
p_880_570,877,567,7,7
p_880_580,877,577,7,7
p_880_590,877,587,7,7
p_880_600,877,597,7,7
p_880_610,877,607,7,7
p_880_620,877,617,7,7
p_880_630,877,627,7,7
p_880_640,877,637,7,7
p_880_650,877,647,7,7
p_880_660,877,657,7,7
p_880_670,877,667,7,7
p_880_680,877,677,7,7
p_880_690,877,687,7,7
p_880_700,877,697,7,7
p_880_710,877,707,7,7
p_880_720,877,717,7,7
p_880_730,877,727,7,7
p_880_740,877,737,7,7
p_880_750,877,747,7,7
p_890_250,887,247,7,7
p_890_260,887,257,7,7
p_890_270,887,267,7,7
p_890_280,887,277,7,7
p_890_290,887,287,7,7
p_890_300,887,297,7,7
p_890_310,887,307,7,7
p_890_320,887,317,7,7
p_890_330,887,327,7,7
p_890_340,887,337,7,7
p_890_350,887,347,7,7
p_890_360,887,357,7,7
p_890_370,887,367,7,7
p_890_380,887,377,7,7
p_890_390,887,387,7,7
p_890_400,887,397,7,7
p_890_410,887,407,7,7
p_890_420,887,417,7,7
p_890_430,887,427,7,7
p_890_440,887,437,7,7
p_890_450,887,447,7,7
p_890_460,887,457,7,7
p_890_470,887,467,7,7
p_890_480,887,477,7,7
p_890_490,887,487,7,7
p_890_500,887,497,7,7
p_890_510,887,507,7,7
p_890_520,887,517,7,7
p_890_530,887,527,7,7
p_890_540,887,537,7,7
p_890_550,887,547,7,7
p_890_560,887,557,7,7
p_890_570,887,567,7,7
p_890_580,887,577,7,7
p_890_590,887,587,7,7
p_890_600,887,597,7,7
p_890_610,887,607,7,7
p_890_620,887,617,7,7
p_890_630,887,627,7,7
p_890_640,887,637,7,7
p_890_650,887,647,7,7
p_890_660,887,657,7,7
p_890_670,887,667,7,7
p_890_680,887,677,7,7
p_890_690,887,687,7,7
p_890_700,887,697,7,7
p_890_710,887,707,7,7
p_890_720,887,717,7,7
p_890_730,887,727,7,7
p_890_740,887,737,7,7
p_890_750,887,747,7,7
p_900_250,897,247,7,7
p_900_260,897,257,7,7
p_900_270,897,267,7,7
p_900_280,897,277,7,7
p_900_290,897,287,7,7
p_900_300,897,297,7,7
p_900_310,897,307,7,7
p_900_320,897,317,7,7
p_900_330,897,327,7,7
p_900_340,897,337,7,7
p_900_350,897,347,7,7
p_900_360,897,357,7,7
p_900_370,897,367,7,7
p_900_380,897,377,7,7
p_900_390,897,387,7,7
p_900_400,897,397,7,7
p_900_410,897,407,7,7
p_900_420,897,417,7,7
p_900_430,897,427,7,7
p_900_440,897,437,7,7
p_900_450,897,447,7,7
p_900_460,897,457,7,7
p_900_470,897,467,7,7
p_900_480,897,477,7,7
p_900_490,897,487,7,7
p_900_500,897,497,7,7
p_900_510,897,507,7,7
p_900_520,897,517,7,7
p_900_530,897,527,7,7
p_900_540,897,537,7,7
p_900_550,897,547,7,7
p_900_560,897,557,7,7
p_900_570,897,567,7,7
p_900_580,897,577,7,7
p_900_590,897,587,7,7
p_900_600,897,597,7,7
p_900_610,897,607,7,7
p_900_620,897,617,7,7
p_900_630,897,627,7,7
p_900_640,897,637,7,7
p_900_650,897,647,7,7
p_900_660,897,657,7,7
p_900_670,897,667,7,7
p_900_680,897,677,7,7
p_900_690,897,687,7,7
p_900_700,897,697,7,7
p_900_710,897,707,7,7
p_900_720,897,717,7,7
p_900_730,897,727,7,7
p_900_740,897,737,7,7
p_900_750,897,747,7,7
p_910_250,907,247,7,7
p_910_260,907,257,7,7
p_910_270,907,267,7,7
p_910_280,907,277,7,7
p_910_290,907,287,7,7
